customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000726,192412,Sat Oct 14 12:09:39 +0000 2017,"@117163 need to send direct message, will u plz follow back. Thank u",1000725,IHGService,Sat Oct 14 12:20:56 +0000 2017,"@192412 Hi, Is there anything I can assist you with? Pls DM details of concern. Thanks. ^rr https://t.co/2rT0l9N9Cu",
1001918,357163,Thu Oct 12 05:34:45 +0000 2017,@IHGService thanks for your quick reply and action. Much appreciated. #realtimeservice,1001917,IHGService,Thu Oct 12 05:45:30 +0000 2017,@357163 You're very welcome! ^am https://t.co/2rT0l9N9Cu,
1001920,357163,Thu Oct 12 05:09:55 +0000 2017,Great reception at @34695 @123448 but need to improve shuttle service logistics. #hotels #Doha,1001919,IHGService,Thu Oct 12 05:17:32 +0000 2017,"@357163 2/2 Azaz, Manager-on-Duty and he assured that he will check and will contact you shortly. Thank you. ^am https://t.co/2rT0l9N9Cu",1001918
1001920,357163,Thu Oct 12 05:09:55 +0000 2017,Great reception at @34695 @123448 but need to improve shuttle service logistics. #hotels #Doha,1001921,IHGService,Thu Oct 12 05:16:49 +0000 2017,@357163 1/2 Hi! I am sorry for the shortfalls you have noticed with the hotel's shuttle service. I called your hotel and spoke with https://t.co/2rT0l9N9Cu,
1002184,357230,Sun Oct 22 13:54:41 +0000 2017,@117163 you want to review the hotel in Huntsville TX. They are making the brand look bad.,1002185,IHGService,Sun Oct 22 14:03:01 +0000 2017,@357230 1/2 I sincerely apologize for the inconvenience. Rest assured your feedback has been shared with the hotel mgmt and,"1002186,1002187"
1002184,357230,Sun Oct 22 13:54:41 +0000 2017,@117163 you want to review the hotel in Huntsville TX. They are making the brand look bad.,1002183,IHGService,Sun Oct 22 14:03:01 +0000 2017,@357230 2/2 all concerned parties for future reference. ^jl,
1004275,357702,Sun Oct 22 14:50:20 +0000 2017,@117164 Can you tell me the email of the Hotel Manager at Heathrow M4 J4 please?,1004274,IHGService,Sun Oct 22 15:05:30 +0000 2017,"@357702 Hi, Thanks for the tweet. Pls send an e-mail to __email__. Hope this helps ^rr https://t.co/2rT0l9N9Cu",
1004278,357703,Sun Oct 22 14:27:37 +0000 2017,@117164 I had spent the worse night on my life here! Bad customer service and horrible room! Did not sleep at all im not very happy,1004276,IHGService,Sun Oct 22 14:56:01 +0000 2017,@357703 2/2 complete booking details so we can properly document your concern. ^jl https://t.co/IQrXUXaFvW,1004277
1004278,357703,Sun Oct 22 14:27:37 +0000 2017,@117164 I had spent the worse night on my life here! Bad customer service and horrible room! Did not sleep at all im not very happy,1004279,IHGService,Sun Oct 22 14:56:01 +0000 2017,"@357703 1/2 Sorry to see this. If you are still in-house, pls alert the duty manager for immediate assistance or DM us with your https://t.co/2rT0l9N9Cu",1889658
1006010,358100,Sat Oct 14 12:42:59 +0000 2017,"@13766 @117164  #HORRIBLE #CustomerService kicked out of tv area # not a guest HIE 2580 Gulf To Bay Blvd Clearwater, FL 33765",1006009,IHGService,Sat Oct 14 12:56:31 +0000 2017,@358100 2/2 mgmt for improvements. Thank you. ^cn https://t.co/2rT0l9N9Cu,
1006010,358100,Sat Oct 14 12:42:59 +0000 2017,"@13766 @117164  #HORRIBLE #CustomerService kicked out of tv area # not a guest HIE 2580 Gulf To Bay Blvd Clearwater, FL 33765",1006011,IHGService,Sat Oct 14 12:56:31 +0000 2017,@358100 1/2 Hi! Sorry to read that our customer service did not live up to your expectations. I've shared this w/ the https://t.co/2rT0l9N9Cu,
1006013,358101,Sat Oct 14 12:34:31 +0000 2017,@117164 appalling customer service from your restaurant manager in Derby,1006012,IHGService,Sat Oct 14 12:42:01 +0000 2017,"@358101 Hi, Sorry to read this. Pls alert mngr on duty to discuss concern or DM your booking &amp; contact info so I can follow up. ^rr",
1007698,358459,Sun Oct 22 19:10:38 +0000 2017,@117164 sucks and is keeping my deposit from 8 months out 😡😡🤬🤬,1007697,IHGService,Sun Oct 22 19:17:31 +0000 2017,@358459 Allow me to check on this. Please send your confirmation #/booking details via DM. We'll respond. ^ev,
1009945,358970,Sun Oct 22 20:22:11 +0000 2017,Real nice @117164 https://t.co/YmLyg8v5Hs,1009944,IHGService,Sun Oct 22 20:33:29 +0000 2017,"@358970 Hi, Sorry to see this. Pls alert mngr on duty to discuss concern or DM us your comp booking &amp; contact info so I can follow up ^rr",
1011899,201851,Thu Oct 12 11:11:03 +0000 2017,Anyone who booked the Holiday inn Cardiff (outside of the city) via https://t.co/8B3Ny2Zd6v check your bank account they’ve charged me again,1011898,IHGService,Thu Oct 12 11:21:30 +0000 2017,@201851 Hi. I'd like to check this further. Pls DM us your booking info for follow-up. Thanks ^iv https://t.co/2rT0la4Ku2,
1013572,359846,Sun Oct 22 18:06:28 +0000 2017,@IHGService Yes this is why I'm confused as the Twitter posts from the hotel say March,1013574,IHGService,Sun Oct 22 18:15:47 +0000 2017,@359846 Will take note of the concern and will froward it to the appropriate department to make the needed correction. Thanks ^rr https://t.co/2rT0l9N9Cu,
1013573,359846,Sun Oct 22 17:46:23 +0000 2017,@359847 @10341 Hi. Been trying to arrange a booking through the IHG app but it still says opening May 2018,1013571,IHGService,Sun Oct 22 18:00:35 +0000 2017,"@359846 Hi, Sorry to read this. Our system does shows that presell date is May 2018 for the hotel. Thanks ^rr https://t.co/2rT0l9N9Cu",1013572
1015066,360159,Thu Oct 12 12:55:36 +0000 2017,@117164 Is so unprofessional. The staff there is more worried about getting into each other pants rather than the guest themselves. Just awful,1015067,IHGService,Thu Oct 12 13:03:01 +0000 2017,"@360159 (1/2) Sorry to hear this. If still at the hotel, kindly alert Manager on Duty for immediate assistance or https://t.co/2rT0l9N9Cu",
1015066,360159,Thu Oct 12 12:55:36 +0000 2017,@117164 Is so unprofessional. The staff there is more worried about getting into each other pants rather than the guest themselves. Just awful,1015065,IHGService,Thu Oct 12 13:03:30 +0000 2017,@360159 (2/2) DM us your booking details for us to follow up. Thanks. ^oa https://t.co/2rT0l9N9Cu,
1017298,360706,Sun Oct 22 20:41:12 +0000 2017,@118541 just checked into N.Castle and already my top has been ruined by sticky iron and this surprise was left in fridge. #badtimes https://t.co/JCI4Q1Qcws,1017299,IHGService,Sun Oct 22 20:47:54 +0000 2017,@360706 (1/2) sorry to see this. Pls. reach out to the duty manager for better assistance or DM us your complete https://t.co/2rT0l9N9Cu,
1017298,360706,Sun Oct 22 20:41:12 +0000 2017,@118541 just checked into N.Castle and already my top has been ruined by sticky iron and this surprise was left in fridge. #badtimes https://t.co/JCI4Q1Qcws,1017297,IHGService,Sun Oct 22 20:48:31 +0000 2017,@360706 (2/2) reservation details so we could follow up. ^mj https://t.co/2rT0l9N9Cu,
1017601,360766,Thu Oct 12 13:31:05 +0000 2017,@118916 what happened to my Avios 500 @135123 points that I was suppose to get for signing up,1017602,IHGService,Thu Oct 12 13:46:27 +0000 2017,"@360766 2/2 Pls send us a DM w/ your IHG Rewards member #, email address and phone # so I can check it for you. Thanks! ^dl https://t.co/2rT0l9N9Cu",
1017601,360766,Thu Oct 12 13:31:05 +0000 2017,@118916 what happened to my Avios 500 @135123 points that I was suppose to get for signing up,1017600,IHGService,Thu Oct 12 13:45:45 +0000 2017,@360766 1/2 Thanks for being an IHG Rewards member. Sorry to hear if you have not received your points yet. https://t.co/2rT0l9N9Cu,
1017604,360767,Wed Oct 11 18:59:00 +0000 2017,"@118541 Saludos, necesito comunicarme con su hotel en SanPedroSula y el telefono q tengo no contestan.  Si pueden ayudarme con esto.. Gracias",1017603,IHGService,Thu Oct 12 13:32:30 +0000 2017,"@360767 Crowne Plaza San Pedro Sula: Phone: 504 2 550 8080 , Email: __email__ . Gracias^nf https://t.co/2rT0l9N9Cu",
1021469,361733,Sun Oct 22 22:34:28 +0000 2017,@IHGService My issues have been resolved. Thank you.,1021468,IHGService,Sun Oct 22 22:46:54 +0000 2017,"@361733 That's great to know! Enjoy you stay, Cristina. ^gc https://t.co/2rT0l9N9Cu",
1021471,361733,Sun Oct 22 21:52:47 +0000 2017,@117163 one night of six and worse experience ever. Looking for a change ASAP!,1021470,IHGService,Sun Oct 22 22:05:00 +0000 2017,@361733 Hi Cristina! I shared your tweet to the Duty Manager. She will reach out to you shortly to discuss your concerns.^gc https://t.co/2rT0l9N9Cu,1021469
1028078,363289,Mon Oct 23 03:06:38 +0000 2017,@121349 room 332,1028077,IHGService,Mon Oct 23 03:09:31 +0000 2017,@363289 Hi M'dafTunTshuva! Pls DM you confirmation number &amp; contact info so we can follow up on this. ^gc https://t.co/2rT0l9N9Cu,
1028080,363290,Mon Oct 23 02:54:26 +0000 2017,@123448  the stain on my sheets would be less noticable if I hadn't kept the room over the weekend,1028079,IHGService,Mon Oct 23 02:58:01 +0000 2017,"@363290 We're here to help, Dave. Pls DM your confirmation number so we can look into this.^gc https://t.co/2rT0l9N9Cu",
1041304,366278,Sun Nov 05 12:58:01 +0000 2017,@IHGService They were very professional otherwise. Actually the security said it was validated and the new girl said she didn’t think it was possible :),1041306,IHGService,Sun Nov 05 13:10:32 +0000 2017,@366278 Thank you for your additional comments. Have a nice day! ^ev,
